"Name","Company","State","City","Salary","Location","Url"
"b'Sr. Data Scientist'","b'BOLD'","CA","San Francisco","$161k-$225k","San Francisco, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=300584&s=58&guid=00000160f186d82d9127079a37aa7819&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_46cc0ab8&cb=1515880634812&jobListingId=1971701635"
"b'Data Scientist'","b'Grammarly'","CA","San Francisco","$95k-$135k","San Francisco, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=262435&s=58&guid=00000160f186d82d9127079a37aa7819&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_eea22d1f&cb=1515880634813&jobListingId=2416030886"
"b'Data Scientist'","b'Smith Hanley Associates'","CA","San Francisco","","San Francisco, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=253361&s=58&guid=00000160f186d82d9127079a37aa7819&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3866680e&cb=1515880634815&jobListingId=2629275362"
"b'Data Scientist'","b'Mapbox'","CA","San Francisco","$160k-$227k","San Francisco, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=174738&s=58&guid=00000160f186d82d9127079a37aa7819&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8670e473&cb=1515880634816&jobListingId=2632426563"
"b'Data Scientist'","b'Credit Sesame'","CA","San Francisco","$129k-$182k","San Francisco, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=262973&s=58&guid=00000160f186d82d9127079a37aa7819&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_28142d7f&cb=1515880634817&jobListingId=2593148719"
"b'Data Scientist'","b'Honor'","CA","San Francisco","$109k-$161k","San Francisco, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=85944&s=58&guid=00000160f186d82d9127079a37aa7819&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b7a09e3b&cb=1515880634819&jobListingId=2632519400"
"b'Clinical Research Scientist - CKD, Anemia'","b'FibroGen'","CA","San Francisco","$92k-$157k","San Francisco, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=205056&s=58&guid=00000160f186d82d9127079a37aa7819&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_553f4524&cb=1515880634820&jobListingId=2470853686"
"b'Data Scientist'","b'Acxiom'","CA","Redwood City","$126k-$174k","Redwood City, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=108003&s=58&guid=00000160f186d82d9127079a37aa7819&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_19e1fdbb&cb=1515880634821&jobListingId=2632250960"
"b'Data Scientist'","b'Opendoor'","CA","San Francisco","$150k-$203k","San Francisco, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=273190&s=58&guid=00000160f186d82d9127079a37aa7819&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0796f16b&cb=1515880634822&jobListingId=2251991177"
"b'Data Scientist'","b'Narvar'","CA","San Francisco","","San Francisco, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=269559&s=58&guid=00000160f186d82d9127079a37aa7819&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_32a79398&cb=1515880634823&jobListingId=2622488064"
"b'Data Scientist'","b'Entelo'","CA","San Francisco","$106k-$152k","San Francisco, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=292311&s=58&guid=00000160f186d82d9127079a37aa7819&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_0e0896dc&cb=1515880634824&jobListingId=2598273730"
"b'Data Scientist'","b'Outpost Games'","CA","South San Francisco","$100k-$143k","South San Francisco, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=85944&s=58&guid=00000160f186d82d9127079a37aa7819&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_54a5b202&cb=1515880634825&jobListingId=2631322946"
"b'Data Scientist'","b'Supercell'","CA","San Francisco","$105k-$147k","San Francisco, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=263261&s=58&guid=00000160f186d82d9127079a37aa7819&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5df912b4&cb=1515880634826&jobListingId=2012884382"
"b'Data Scientist'","b'HotelTonight'","CA","San Francisco","$136k-$188k","San Francisco, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=295580&s=58&guid=00000160f186d82d9127079a37aa7819&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_171e39ff&cb=1515880634827&jobListingId=2600721349"
"b'Data Scientist'","b'Affirm'","CA","San Francisco","$151k-$209k","San Francisco, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=293436&s=58&guid=00000160f186d82d9127079a37aa7819&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_66d78dc9&cb=1515880634828&jobListingId=1059546238"
"b'Data Scientist'","b'Pinterest'","CA","San Francisco","$152k-$207k","San Francisco, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=4120&s=58&guid=00000160f186d82d9127079a37aa7819&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_85919fe9&cb=1515880634830&jobListingId=2297111317"
"b'Data Scientist'","b'CASTLE GLOBAL'","CA","San Francisco","$108k-$159k","San Francisco, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=85944&s=58&guid=00000160f186d82d9127079a37aa7819&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_4957fe27&cb=1515880634831&jobListingId=2607532302"
"b'Data Scientist'","b'Thumbtack'","CA","San Francisco","$108k-$149k","San Francisco, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=264494&s=58&guid=00000160f186d82d9127079a37aa7819&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_367ef4cf&cb=1515880634832&jobListingId=2552505526"
"b'Data Scientist'","b'Esurance'","CA","San Francisco","$76k-$109k","San Francisco, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=262673&s=58&guid=00000160f186d82d9127079a37aa7819&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0e938e05&cb=1515880634834&jobListingId=2576033220"
"b'Data Scientist'","b'LendUp'","CA","San Francisco","$125k-$170k","San Francisco, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=265613&s=58&guid=00000160f186d82d9127079a37aa7819&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_c976fae4&cb=1515880634835&jobListingId=2464131913"
"b'Data Scientist'","b'Oh My Green'","CA","San Francisco","","San Francisco, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=8095&s=58&guid=00000160f186d82d9127079a37aa7819&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_11133250&cb=1515880634837&jobListingId=2585098181"
"b'Data Scientist'","b'Dropbox'","CA","San Francisco","$119k-$170k","San Francisco, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=134262&s=58&guid=00000160f186d82d9127079a37aa7819&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e6a4e0a1&cb=1515880634838&jobListingId=2491789065"
"b'Data Scientist'","b'Autolist  NEW'","CA","San Francisco","","San Francisco, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=215203&s=58&guid=00000160f186d82d9127079a37aa7819&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5a264b42&cb=1515880634840&jobListingId=2493443619"
"b'Data Scientist'","b'ThirdLove'","CA","San Francisco","$135k-$199k","San Francisco, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=148364&s=58&guid=00000160f186d82d9127079a37aa7819&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_cda6bc5f&cb=1515880634840&jobListingId=2412813344"
"b'Data Scientist'","b'TrueAccord'","CA","San Francisco","$113k-$162k","San Francisco, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=148364&s=58&guid=00000160f186d82d9127079a37aa7819&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ce888e86&cb=1515880634842&jobListingId=2567346135"
"b'Data Scientist'","b'Square'","CA","San Francisco","$135k-$184k","San Francisco, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=133571&s=58&guid=00000160f186d82d9127079a37aa7819&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d0310498&cb=1515880634842&jobListingId=2509304607"
